Algorithm;File;Client number;Route number;Fitness;Time (nanoseconds);Time minutes:seconds;Execution date
GeneticAlgorithm;A3205.txt;31;5;854.4453054742816;5006676852;0:5;05/06/2020 20:17:51
GeneticAlgorithm;A3305.txt;32;5;663.8255776848371;6739954783;0:6;05/06/2020 20:17:58
